key,EN,DE,TR,IT
PIAT_017,Question **{{item_number}}** out of **{{num_items_in_test}}**,Frage **{{item_number}}** von **{{num_items_in_test}}**,**{{num_items_in_test}}** üzerinden **{{item_number}}** soru,Esercizio **{{item_number}}** di **{{num_items_in_test}}**
PIAT_018,You finished the test!,Du hast den Test geschafft!,Testi tamamladiniz!,Hai terminato il test!
PIAT_019,"Your data have been saved, please notify the experimenter.",Dein Daten wurden gespeichert. Bitte melde dich beim Versuchsleiter.,"Verileriniz kaydedildi, lütfen deneyi uygulayan kisiye haber verin.","I tuoi dati sono stati salvati, per favore avvisa lo sperimentatore."
PIAT_020,Match,Passt,Eslesme Var,Corrisponde
PIAT_021,No match,Passt nicht,Eslesme Yok,Non corrisponde
PIAT_022,Yes,Ja,Evet,Si
PIAT_023,No,Nein,Hayir,No
PIAT_024,Next,Weiter,Ileri,Avanti
PIAT_025,You answered incorrectly.,Du hast falsch geantwortet.,Yanlis cevap verdiniz.,Hai risposto in modo errato.
PIAT_026,Pitch Imagery Arrow Test,Ton-Vorstellungs-Test,Ok Araciligiyla Ses Perdesi Canlandirma Görevi,Test di Immaginazione del Tono tramite Frecce
enter_p_id,Please enter your participant ID.,Bitte gib Deine Teilnehmer-ID ein.,Lütfen katilimci numaranizi girin.,Per favore inserisci il tuo ID partecipante.
results_have_been_saved,Your results have been saved.,Deine Ergebnisse sind gespeichert.,Sonuçlariniz kaydedildi.,I tuoi risultati sono stati salvati.
you_may_close_browser,You may now close the browser window.,Du kannst dieses Fenster jetzt schließen.,Artik tarayici penceresini kapatabilirsiniz.,Ora puoi chiudere la finestra di navigazione.
